504,29
473,473,1
11
9,9,3
9,10,11
9,9,2
10,11
9,9,3
10,11,16
9,9,3
5,12,13
57,57,3
10,12,17
265,265,3
12,18,24
89,89,6
11,12,17,22,23,24
313,313,10
3,8,9,10,14,15,19,20,21,22
297,297,9
1,2,3,7,8,13,14,19,20
345,345,9
1,2,3,7,8,13,14,19,24
553,553,9
1,2,3,7,8,9,13,15,19
553,553,9
1,2,5,7,8,9,10,11,22
553,553,9
1,2,3,4,7,9,10,15,24
553,553,8
4,5,6,11,15,16,17,22
297,297,8
5,6,10,11,12,15,16,17
297,297,8
4,5,6,10,11,15,16,17
553,553,8
5,6,10,11,15,16,17,20
329,329,7
4,5,7,10,11,12,15
313,313,7
4,5,6,10,11,16,17
457,457,6
5,6,10,11,16,17
105,105,6
5,6,11,13,16,17
9,9,5
5,6,10,11,15
9,9,5
5,6,10,11,12
25,25,5
5,6,10,11,12
393,393,4
5,6,11,17
441,441,4
5,6,10,11
569,569,3
6,11,12
233,233,3
6,8,11
505,505,3
10,11,12
313,313,3
10,11,12
121,121,3
6,11,12
537,537,3
6,11,12
73,73,3
6,11,12
73,73,3
6,11,12
73,73,4
5,10,11,12
249,249,3
3,17,23
73,73,5
4,11,18,21,23
361,361,6
2,10,11,18,21,22
361,361,6
3,4,6,10,12,18
297,297,7
3,5,6,9,11,12,24
249,249,8
3,4,5,6,11,12,18,24
249,249,8
4,5,6,11,12,17,18,24
345,345,10
3,4,9,10,15,16,17,19,22,24
313,313,9
1,2,7,8,9,13,14,15,19
89,89,7
1,7,13,14,15,19,21
73,73,5
1,7,13,19,20
553,553,4
13,14,19,20
25,25,3
5,12,19
409,409,2
11,12
569,569,1
17
393,393,1
3
153,153,1
2
153,153,1
3
57,57,3
3,4,7
57,57,3
1,3,8
57,57,3
4,7,10
57,57,3
1,3,8
425,425,3
1,4,7
233,233,4
1,3,4,10
73,73,4
4,5,8,10
313,313,6
1,3,7,8,9,10
521,521,4
4,8,9,15
521,521,5
