504,30
34,34,2
2,20
66,66,4
1,8,14,20
386,386,3
1,8,20
386,386,3
1,8,14
66,66,4
2,8,13,14
2,2,3
1,8,14
34,34,2
8,19
434,434,1
7
34,34,2
8,19
434,434,2
14,20
354,354,4
2,8,20,21
242,242,3
8,14,21
258,258,4
8,10,14,20
242,242,3
2,8,14
66,66,4
2,8,14,20
66,66,4
1,8,14,20
514,514,4
2,8,14,20
514,514,4
8,14,20,21
418,418,3
1,8,20
66,66,4
2,8,15,21
2,2,3
8,14,20
2,2,3
1,14,21
418,418,3
1,8,20
418,418,3
2,8,21
434,434,3
8,14,21
418,418,3
8,14,21
498,498,4
8,14,20,24
418,418,3
1,8,20
386,386,5
13,14,19,20,21
546,546,10
7,8,9,13,14,15,16,17,21,23
546,546,11
1,2,3,4,5,6,8,10,12,16,20
530,530,10
2,3,4,5,6,9,10,11,12,20
242,242,9
3,4,5,6,8,10,11,12,15
242,242,9
3,4,5,6,8,10,11,12,15
354,354,8
3,4,5,6,9,11,12,24
338,338,8
3,4,5,6,9,11,18,24
82,82,7
3,4,5,9,18,23,24
306,306,7
3,5,6,10,12,18,24
258,258,7
5,6,10,11,12,18,24
514,514,7
5,6,11,12,13,18,24
514,514,7
2,5,6,12,18,23,24
226,226,6
2,5,6,12,18,24
498,498,6
2,5,6,12,18,24
562,562,6
5,6,8,14,18,24
562,562,6
1,2,6,12,18,24
498,498,5
1,3,6,8,10
546,546,5
1,2,6,8,12
498,498,6
1,6,7,8,17,18
498,498,5
1,2,6,8,13
226,226,4
1,2,7,8
274,274,4
1,2,7,8
66,66,4
1,7,8,15
66,66,4
1,8,13,21
322,322,4
1,8,14,24
130,130,3
6,8,13
146,146,3
8,13,14
194,194,2
8,13
146,146,3
8,13,24
146,146,3
8,18,24
562,562,4
3,8,18,24
178,178,5
3,8,17,18,24
178,178,5
3,8,16,17,24
178,178,6
3,8,17,18,22,24
386,386,6
4,9,15,17,19,21
354,354,8
1,3,4,9,15,17,18,21
114,114,8
9,12,17,18,21,22,23,24
546,546,9
9,16,17,18,20,21,22,23,24
546,546,10
1,16,17,18,19,20,21,22,23,24
546,546,10
9,12,13,14,18,19,20,21,23,24
546,546,10
1,2,3,7,8,9,13,14,15,24
354,354,6
1,2,3,7,8,13
562,562,6
1,2,7,8,12,13
66,66,5
1,2,7,8,13
50,50,5
1,2,3,7,13
98,98,4
2,7,8,13
386,386,4
1,2,13,20
98,98,4
1,7,8,13
322,322,3
1,2,7
370,370,3
1,2,7
370,370,2
1,2
2,2,2
2,8
242,242,3
2,13,21
18,18,4
1,2,7,14
274,274,4
1,2,14,19
258,258,4
1,2,13,24
498,498,4
1,2,5,14
514,514,4
1,2,13,14
274,274,4
1,2,7,14
274,274,4
1,2,13,14
274,274,4
1,2,7,14
418,418,4
1,2,8,13
290,290,4
1,2,7,8
274,274,5
1,2,7,8,12
114,114,4
2,7,8,14
418,418,4
2,7,8,13
370,370,3
2,8,14
226,226,3
8,13,14
338,338,3
7,8,14
338,338,4
2,8,13,14
434,434,3
2,8,14
354,354,5
13,14,19,20,21
546,546,10
1,7,9,13,14,15,16,17,22,23
546,546,11
