504,30
55,55,3
10,12,18
535,535,2
9,22
55,55,3
7,20,21
55,55,3
2,8,9
103,103,4
2,6,16,19
375,375,5
1,8,9,13,19
503,503,6
1,13,15,16,19,24
135,135,5
1,7,8,9,13
151,151,5
1,2,8,9,13
343,343,2
2,23
343,343,5
1,7,13,14,20
343,343,6
1,2,7,8,13,20
343,343,7
1,2,7,9,13,14,20
535,535,6
1,2,7,9,13,15
535,535,6
1,2,7,15,20,22
519,519,3
2,7,11
151,151,3
17,22,23
103,103,4
17,18,22,24
231,231,4
10,12,17,24
455,455,7
11,12,17,18,22,23,24
455,455,7
12,17,18,21,22,23,24
471,471,9
1,11,12,17,18,20,22,23,24
439,439,10
1,5,6,10,11,12,16,17,18,22
439,439,9
1,2,3,4,5,6,9,11,20
423,423,6
1,2,3,4,5,21
135,135,1
11
87,87,2
14,15
71,71,3
14,15,20
535,535,3
8,13,14
87,87,3
8,13,20
55,55,3
8,11,13
103,103,2
1,13
375,375,2
8,13
151,151,2
13,20
23,23,1
13
39,39,2
8,13
39,39,2
1,13
167,167,2
7,13
391,391,2
5,13
167,167,1
1
167,167,1
13
391,391,2
13,21
519,519,2
1,13
375,375,3
1,13,16
375,375,3
1,13,16
535,535,4
1,2,12,13
535,535,3
1,2,13
535,535,3
1,8,13
535,535,4
1,5,13,15
23,23,2
1,13
535,535,3
1,8,13
279,279,3
1,8,13
279,279,2
1,13
39,39,1
1
407,407,3
1,13,15
423,423,1
13
455,455,2
1,13
455,455,2
7,13
407,407,1
13
519,519,2
1,13
519,519,2
1,13
167,167,1
6
167,167,1
13
503,503,3
19,20,21
119,119,9
13,14,15,16,19,20,21,22,23
119,119,10
2,3,4,5,6,10,11,12,17,18
39,39,9
3,4,5,6,10,11,12,18,19
23,23,8
4,5,6,11,12,17,18,19
343,343,6
4,5,6,11,12,18
407,407,5
5,6,17,18,22
455,455,1
5
215,215,3
1,7,20
391,391,4
7,13,19,20
119,119,3
7,10,19
487,487,3
7,13,14
119,119,1
13
71,71,1
7
487,487,2
1,13
487,487,1
13
71,71,2
7,22
407,407,1
13
503,503,2
7,13
7,7,2
1,13
279,279,3
1,7,8
391,391,5
1,7,13,14,20
535,535,5
1,7,13,14,20
535,535,4
1,7,13,20
359,359,2
1,13
183,183,2
1,19
167,167,1
24
215,215,2
22,24
423,423,6
12,17,18,22,23,24
423,423,7
12,16,17,18,22,23,24
471,471,8
12,16,17,18,21,22,23,24
439,439,10
10,11,12,15,16,18,19,20,21,22
439,439,9
2,3,4,5,7,8,9,10,13
407,407,5
1,2,3,4,5
39,39,1
22
55,55,2
13,20
71,71,3
7,14,15
535,535,2
1,20
391,391,2
8,20
55,55,1
8
567,567,1
8
567,567,2
7,8
135,135,2
1,13
7,7,1
1
455,455,1
2
215,215,2
8,21
7,7,2
2,3
167,167,2
6,13
23,23,2
8,13
535,535,3
1,7,13
551,551,3
2,13,15
87,87,4
1,2,13,23
199,199,4
1,2,8,13
455,455,4
1,2,8,13
567,567,4
1,2,8,13
247,247,2
1,13
199,199,3
1,2,13
7,7,3
1,2,13
519,519,3
1,13,15
279,279,3
1,8,13
423,423,3
1,8,15
455,455,3
1,8,15
519,519,3
1,8,15
55,55,3
1,2,13
55,55,3
1,2,4
567,567,3
1,2,7
567,567,3
1,2,13
567,567,3
1,2,13
471,471,3
1,2,13
407,407,4
2,3,7,13
455,455,4
1,7,13,16
375,375,4
1,7,8,13
535,535,2
19,20
103,103,8
7,13,14,15,20,21,22,23
119,119,10
2,3,4,5,9,10,11,12,17,18
23,23,9
