504,30
159,159,6
1,2,3,4,11,18
47,47,2
2,4
15,15,1
4
431,431,1
9
271,271,3
4,5,6
31,31,7
3,4,5,6,10,11,12
255,255,9
1,8,9,10,15,16,17,23,24
255,255,10
6,7,13,14,15,19,20,21,22,23
223,223,9
6,13,14,15,19,20,21,22,23
559,559,8
7,13,14,19,20,21,22,23
239,239,8
4,7,13,14,15,19,20,21
319,319,7
4,13,14,19,20,21,22
463,463,6
13,14,15,19,20,21
207,207,4
13,15,19,20
399,399,4
19,20,21,23
319,319,3
1,7,19
207,207,2
6,19
367,367,2
6,19
223,223,3
5,6,19
383,383,2
19,24
335,335,2
19,24
175,175,1
11
31,31,1
20
79,79,1
19
575,575,2
6,13
383,383,3
6,9,13
367,367,4
1,2,6,7
399,399,5
1,2,4,5,8
479,479,6
1,2,3,7,8,13
351,351,8
1,2,3,4,7,8,13,23
255,255,8
1,2,3,4,7,8,9,13
271,271,10
2,3,4,5,6,7,8,9,13,24
431,431,9
4,5,6,10,11,12,15,16,20
447,447,7
12,16,17,18,22,23,24
447,447,6
12,17,18,22,23,24
239,239,6
12,18,21,22,23,24
335,335,5
15,19,22,23,24
223,223,5
5,21,22,23,24
223,223,5
5,11,18,22,24
415,415,5
11,12,20,22,24
303,303,4
3,18,21,22
335,335,4
2,21,22,24
335,335,4
12,21,22,24
159,159,4
5,16,22,23
143,143,4
18,21,22,24
463,463,3
5,12,21
463,463,3
12,20,22
495,495,3
21,22,24
447,447,2
5,24
447,447,2
21,24
431,431,3
11,22,24
463,463,4
5,12,18,22
495,495,3
2,5,22
287,287,4
2,8,22,24
543,543,3
3,22,24
31,31,4
2,15,20,22
495,495,3
2,20,22
335,335,3
2,20,22
543,543,3
2,20,22
495,495,4
1,3,14,22
495,495,3
2,22,24
495,495,3
3,11,16
415,415,3
2,3,22
159,159,2
3,5
415,415,3
3,5,8
399,399,1
3
15,15,1
18
367,367,1
9
383,383,1
1
463,463,1
1
463,463,1
1
447,447,1
4
47,47,1
1
303,303,2
4,11
303,303,2
4,21
479,479,3
4,18,21
559,559,4
4,5,6,18
79,79,7
3,4,5,6,9,11,12
271,271,10
1,7,8,9,10,16,17,19,23,24
271,271,10
6,7,13,14,16,19,20,21,22,23
223,223,9
5,7,13,14,15,19,20,21,22
239,239,8
5,7,13,14,19,20,21,22
127,127,7
7,13,14,19,20,22,23
447,447,7
7,13,14,19,20,22,23
255,255,6
13,14,16,19,22,23
495,495,4
8,13,16,22
495,495,4
10,13,16,22
463,463,3
13,16,22
175,175,2
16,22
351,351,3
6,10,16
495,495,4
5,11,12,18
159,159,3
4,10,18
463,463,3
4,5,6
367,367,3
4,6,10
15,15,3
6,10,12
463,463,3
6,10,12
559,559,3
2,6,12
95,95,3
2,6,11
335,335,4
1,2,6,12
95,95,4
1,2,3,8
559,559,5
1,2,3,4,7
447,447,7
1,2,3,7,8,9,13
415,415,8
1,2,3,4,7,8,9,13
287,287,10
2,3,4,5,6,8,9,13,19,24
255,255,9
5,6,10,11,12,18,19,20,21
255,255,7
12,17,18,21,22,23,24
351,351,5
12,18,22,23,24
447,447,5
5,12,18,23,24
223,223,3
12,18,24
15,15,3
3,12,18
15,15,2
6,12
335,335,2
12,18
511,511,1
2
383,383,1
10
383,383,1
10
175,175,1
10
207,207,2
10,18
447,447,2
10,11
95,95,3
4,5,10
207,207,1
5
383,383,2
2,11
15,15,2
5,11
207,207,1
5
175,175,1
11
511,511,1
20
31,31,1
11
319,319,1
11
31,31,2
11,18
335,335,2
17,23
559,559,2
15,18
335,335,1
18
559,559,2
15,18
559,559,2
5,18
559,559,2
6,18
559,559,2
6,18
447,447,1
4
47,47,1
15
223,223,3
5,15,22
431,431,3
4,22,24
575,575,3
7,22,23
399,399,4
2,7,9,17
575,575,3
16,21,23
575,575,3
13,20,23
463,463,2
22,23
207,207,3
15,16,17
335,335,1
15
431,431,1
23
319,319,1
5
447,447,3
4,5,6
255,255,7
3,4,5,6,10,11,12
271,271,10
1,6,7,8,9,15,16,17,23,24
271,271,10
6,7,13,14,15,16,19,20,21,22
223,223,9
6,7,13,14,15,19,20,21,22
111,111,8
6,7,13,14,19,20,21,22
239,239,7
13,14,19,20,21,22,23
303,303,7
8,13,19,20,21,22,24
415,415,5
19,21,22,23,24
319,319,4
21,22,23,24
319,319,3
22,23,24
143,143,3
5,22,23
175,175,2
4,23
175,175,2
3,8
383,383,3
7,23,24
207,207,1
4
239,239,1
11
79,79,1
19
335,335,1
4
95,95,1
2
31,31,1
19
559,559,1
1
31,31,2
1,7
15,15,6
1,2,14,16,19,20
15,15,6
1,2,7,8,13,20
255,255,7
1,2,3,4,7,8,13
255,255,8
1,2,3,7,8,9,13,19
271,271,9
2,3,4,5,7,8,9,10,13
447,447,9
4,5,6,10,11,12,15,16,17
447,447,7
12,16,17,18,22,23,24
367,367,5
17,18,22,23,24
111,111,5
6,11,12,23,24
223,223,4
2,6,12,24
143,143,2
3,24
15,15,2
6,7
383,383,1
24
335,335,1
16
543,543,2
14,20
207,207,2
14,20
207,207,2
13,14
79,79,3
8,20,22
191,191,4
7,8,9,21
399,399,3
5,19,21
191,191,4
8,16,19,22
191,191,4
8,9,21,22
15,15,3
7,8,21
15,15,2
8,17
15,15,2
7,8
335,335,2
7,8
335,335,2
3,7
559,559,3
3,7,20
575,575,2
15,20
335,335,3
3,7,17
255,255,2
2,3
511,511,2
7,10
463,463,2
1,2
95,95,1
20
511,511,2
1,10
511,511,2
4,20
223,223,4
2,9,15,20
447,447,5
1,8,9,19,20
335,335,6
3,4,8,19,20,21
207,207,6
4,19,20,21,22,23
319,319,7
5,19,20,21,22,23,24
431,431,7
3,19,20,21,22,23,24
159,159,7
5,19,20,21,22,23,24
191,191,6
19,20,21,22,23,24
191,191,6
19,20,21,22,23,24
511,511,4
10,20,22,23
431,431,4
19,20,21,23
143,143,6
11,16,19,20,21,22
111,111,4
11,16,21,22
367,367,2
5,6
271,271,6
3,4,5,6,11,12
79,79,9
1,8,11,15,16,17,18,23,24
239,239,10
2,7,13,14,15,19,20,21,22,24
223,223,9
7,13,14,15,19,20,21,22,23
127,127,7
13,14,15,19,20,21,22
127,127,8
6,13,14,15,19,20,21,22
255,255,6
13,14,19,20,21,22
319,319,5
7,14,19,20,21
271,271,3
1,19,20
175,175,2
11,19
255,255,1
6
95,95,4
6,15,16,20
287,287,3
6,15,24
415,415,2
7,20
191,191,5
5,9,15,19,23
303,303,4
9,17,19,23
191,191,5
6,8,9,19,23
47,47,5
9,14,17,19,23
111,111,4
14,15,19,23
223,223,2
19,23
399,399,1
4
559,559,3
1,3,4
303,303,5
7,8,13,23,24
15,15,6
1,2,3,4,5,7
255,255,7
1,2,3,4,5,7,8
287,287,9
1,2,3,4,5,7,8,13,23
367,367,9
3,4,5,6,9,10,11,14,15
255,255,9
1,5,6,10,11,12,15,16,17
255,255,7
12,17,18,21,22,23,24
431,431,5
18,21,22,23,24
79,79,3
20,23,24
159,159,1
22
319,319,1
20
175,175,1
2
399,399,2
1,2
95,95,3
1,2,10
31,31,4
1,5,6,10
47,47,5
1,5,6,10,11
47,47,5
1,4,5,6,10
31,31,7
1,4,5,6,7,10,12
47,47,7
4,5,6,9,10,11,12
287,287,7
1,3,4,6,9,19,20
79,79,6
3,4,5,13,19,20
79,79,7
3,4,5,6,13,19,20
383,383,6
3,4,5,12,19,20
47,47,5
3,4,12,19,20
63,63,5
3,4,13,19,21
367,367,3
3,13,19
255,255,6
2,3,4,6,7,19
95,95,5
3,7,17,19,20
95,95,4
2,7,13,20
399,399,5
2,7,13,19,21
383,383,5
2,13,19,20,21
399,399,5
2,17,19,20,21
415,415,4
2,7,20,22
47,47,3
7,19,22
47,47,3
1,7,20
399,399,4
1,7,20,22
351,351,7
1,7,10,13,19,20,21
351,351,6
1,7,10,14,15,20
207,207,6
1,7,13,15,19,20
207,207,6
1,14,15,19,20,22
431,431,6
14,15,19,20,21,22
319,319,6
5,14,15,19,20,21
191,191,6
7,8,14,15,20,21
415,415,5
1,7,14,15,20
303,303,5
1,7,14,15,20
191,191,6
1,7,12,14,15,16
111,111,5
7,8,13,14,16
47,47,4
7,8,13,14
47,47,4
1,7,8,14
463,463,2
3,6
239,239,7
3,4,5,6,11,12,24
239,239,9
8,9,15,16,17,18,22,23,24
447,447,10
12,13,14,15,19,20,21,22,23,24
255,255,9
6,13,14,15,19,20,21,22,23
303,303,7
13,14,15,16,19,20,21
271,271,7
13,14,15,16,19,20,21
319,319,6
16,17,18,19,20,21
511,511,5
16,18,19,21,22
143,143,3
18,19,22
175,175,2
16,24
383,383,1
18
255,255,1
7
255,255,3
7,8,14
399,399,4
3,4,6,8
543,543,2
7,13
191,191,1
1
31,31,2
1,4
143,143,1
21
31,31,1
3
79,79,1
3
351,351,2
