504,26
34,34,4
20,21,22,23
33,33,2
10,21
33,33,2
10,21
28,28,3
10,22,23
28,28,3
10,21,23
28,28,3
20,21,22
28,28,3
21,22,23
12,12,3
21,23,24
12,12,3
21,22,23
0,0,2
22,23
28,28,3
5,19,23
26,26,3
14,23,24
0,0,2
23,24
5,5,3
21,22,23
5,5,3
5,22,24
34,34,4
5,22,23,24
31,31,7
5,11,16,18,22,23,24
15,15,8
5,11,16,17,18,19,22,23
30,30,8
8,11,12,16,17,22,23,24
14,14,8
2,5,12,17,18,22,23,24
29,29,7
5,12,16,18,22,23,24
35,35,6
11,12,17,18,23,24
4,4,8
10,12,17,18,21,22,23,24
12,12,9
4,5,6,16,17,18,22,23,24
12,12,8
4,5,6,12,16,17,21,22
29,29,3
17,18,24
8,8,8
3,5,6,17,18,21,22,23
8,8,9
2,3,4,5,8,13,14,19,20
20,20,8
1,2,3,7,8,13,19,24
15,15,7
1,2,7,8,13,15,19
30,30,6
1,2,3,7,8,19
23,23,6
1,2,4,7,14,19
23,23,5
3,7,8,13,19
13,13,5
4,5,8,13,19
29,29,6
1,5,7,13,14,19
29,29,5
7,11,13,14,19
23,23,3
12,13,14
13,13,3
13,14,16
25,25,1
13
33,33,1
14
31,31,2
18,24
9,9,2
18,24
8,8,3
18,21,24
4,4,3
17,18,24
5,5,5
10,11,18,23,24
34,34,3
1,2,3
3,3,3
7,23,24
1,1,2
12,23
1,1,1
23
2,2,1
24
34,34,3
2,3,19
0,0,4
1,2,3,6
33,33,5
1,2,3,6,24
32,32,6
3,6,8,11,12,24
29,29,6
5,6,12,18,23,24
30,30,8
4,5,6,7,11,12,23,24
30,30,9
3,4,6,10,11,17,22,23,24
30,30,8
2,9,14,15,16,20,21,22
20,20,6
1,13,14,19,20,22
13,13,3
7,13,19
27,27,1
1
5,5,1
13
26,26,1
18
26,26,1
5
26,26,1
9
3,3,1
19
24,24,1
16
26,26,1
9
32,32,1
2
28,28,1
2
18,18,1
2
23,23,1
2
23,23,1
3
13,13,1
3
29,29,2
3,6
28,28,1
3
28,28,1
3
18,18,1
6
18,18,1
3
18,18,1
6
14,14,1
1
29,29,3
1,3,6
19,19,3
1,3,4
13,13,3
1,3,20
28,28,2
1,7
18,18,2
1,7
27,27,1
1
4,4,1
2
26,26,1
1
16,16,1
13
34,34,1
14
3,3,1
15
15,15,2
10,15
14,14,4
10,11,14,15
29,29,5
10,11,15,16,20
13,13,6
10,11,15,16,19,24
28,28,5
11,15,16,19,20
14,14,3
18,23,24
0,0,9
1,4,5,9,10,16,17,21,22
8,8,9
1,2,3,4,7,8,9,13,14
8,8,8
1,2,3,7,8,13,14,19
0,0,7
1,2,7,8,10,13,14
13,13,6
1,2,3,7,13,14
30,30,6
1,2,7,13,14,15
28,28,5
6,13,14,17,19
30,30,4
4,22,23,24
7,7,4
3,4,23,24
13,13,4
4,14,23,24
27,27,3
12,16,19
27,27,2
4,6
27,27,2
5,6
25,25,2
6,13
4,4,2
5,11
26,26,1
5
9,9,1
5
26,26,1
5
24,24,1
19
11,11,2
8,18
2,2,2
19,20
2,2,1
19
20,20,2
19,20
15,15,1
19
18,18,1
17
17,17,2
17,18
7,7,3
6,12,18
21,21,5
5,6,12,17,18
5,5,5
4,5,6,11,12
14,14,7
4,5,6,11,12,17,18
23,23,9
3,4,10,11,12,16,17,18,22
22,22,9
2,3,8,9,10,14,15,16,21
20,20,6
1,7,8,13,14,19
28,28,4
1,7,13,19
15,15,3
1,7,18
27,27,2
1,14
15,15,2
2,13
15,15,1
1
4,4,1
1
12,12,3
1,7,12
12,12,2
7,8
12,12,2
8,12
27,27,1
8
12,12,2
1,12
28,28,2
2,7
31,31,2
1,7
31,31,2
1,6
25,25,2
1,2
19,19,2
2,7
19,19,2
2,7
27,27,2
2,9
27,27,1
2
25,25,2
2,17
31,31,1
2
5,5,1
1
5,5,2
2,9
31,31,2
1,9
5,5,2
2,19
33,33,2
2,19
9,9,1
2
1,1,1
16
26,26,1
23
2,2,1
23
4,4,3
1,7,23
0,0,3
1,13,23
31,31,5
1,8,13,14,15
12,12,3
1,7,8
4,4,4
1,8,14,15
28,28,8
1,7,8,14,15,17,21,23
20,20,7
1,7,8,14,15,23,24
26,26,6
1,4,7,8,14,15
30,30,3
12,18,24
23,23,8
4,5,6,10,11,16,17,19
23,23,9
1,2,3,4,6,7,13,19,20
13,13,8
1,2,3,7,8,13,19,22
20,20,7
1,2,3,7,8,13,19
6,6,6
1,2,7,8,15,19
6,6,6
1,7,8,9,13,19
28,28,6
1,4,8,9,13,17
23,23,6
6,7,13,17,19,20
15,15,5
13,14,17,19,20
15,15,5
13,14,18,19,20
15,15,5
8,12,20,21,24
19,19,4
13,19,20,21
19,19,3
7,19,20
12,12,2
13,19
15,15,1
19
25,25,1
17
35,35,2
10,17
1,1,2
2,17
30,30,3
1,2,17
3,3,2
18,19
4,4,3
1,2,18
7,7,3
2,6,18
3,3,2
8,18
1,1,1
20
24,24,3
22,23,24
6,6,4
5,22,23,24
32,32,5
4,5,6,18,23
31,31,6
6,8,11,12,18,24
13,13,6
5,6,11,12,18,24
23,23,8
5,6,11,12,17,18,21,24
7,7,9
3,4,10,11,16,17,22,23,24
7,7,9
2,3,4,14,15,16,20,21,22
29,29,6
1,7,13,14,19,20
19,19,4
1,13,19,20
27,27,3
19,20,21
11,11,3
19,20,21
11,11,3
5,19,20
28,28,3
5,13,14
23,23,3
5,6,13
23,23,3
5,13,14
31,31,3
6,13,14
28,28,2
6,21
35,35,1
6
27,27,2
20,22
34,34,2
20,22
31,31,2
16,22
28,28,3
14,19,20
13,13,2
19,22
34,34,2
19,20
34,34,2
19,20
13,13,2
19,20
13,13,2
15,19
13,13,1
19
30,30,2
20,22
13,13,2
19,20
34,34,2
19,20
31,31,2
19,20
32,32,2
19,20
26,26,2
14,19
33,33,1
19
4,4,1
21
3,3,1
2
8,8,1
2
9,9,2
2,7
0,0,4
2,3,5,7
1,1,5
2,3,5,7,8
22,22,5
2,3,5,7,10
29,29,7
1,2,3,5,7,8,21
28,28,8
1,2,3,4,5,7,8,10
19,19,8
1,3,4,5,7,8,11,14
4,4,8
3,4,5,7,8,9,10,13
30,30,3
5,18,24
15,15,8
4,5,10,11,15,16,21,22
23,23,9
1,2,3,7,8,13,19,20,22
23,23,8
1,2,3,5,7,8,13,19
28,28,7
1,2,7,8,13,19,20
27,27,6
1,7,8,13,14,15
19,19,6
1,7,13,14,19,20
23,23,5
1,7,13,14,20
23,23,5
13,14,17,20,21
15,15,5
7,13,14,19,20
15,15,4
13,14,16,20
29,29,5
7,8,12,16,17
12,12,3
7,14,20
26,26,3
1,7,15
3,3,2
14,15
18,18,2
1,14
8,8,1
2
13,13,1
1
32,32,1
22
13,13,1
24
35,35,3
3,4,21
24,24,1
11
0,0,1
17
0,0,1
3
0,0,1
8
17,17,2
3,8
