504,28
193,193,5
7,8,13,19,24
205,205,4
1,7,13,19
207,207,2
1,7
203,203,1
13
180,180,3
5,16,17
194,194,4
4,5,16,18
208,208,3
2,5,16
193,193,5
4,5,12,16,18
181,181,4
4,5,16,17
185,185,5
4,5,10,16,17
180,180,4
3,4,5,18
194,194,4
3,4,10,11
192,192,3
3,5,10
184,184,3
5,10,18
188,188,3
4,5,10
188,188,3
4,5,10
188,188,3
4,5,10
188,188,3
4,10,17
201,201,3
4,10,12
199,199,2
4,12
183,183,2
1,3
182,182,2
4,18
180,180,3
3,5,20
191,191,3
4,5,12
206,206,3
4,12,18
190,190,3
4,5,18
190,190,3
4,5,18
180,180,3
4,5,12
214,214,3
4,5,12
180,180,3
4,5,12
198,198,4
4,5,12,18
187,187,3
4,12,17
180,180,3
4,12,17
198,198,5
3,4,5,12,17
215,215,4
3,12,18,22
207,207,4
4,12,17,22
189,189,6
12,17,18,19,22,23
182,182,5
3,5,17,22,23
188,188,5
3,4,16,17,22
214,214,3
16,19,22
199,199,1
6
209,209,4
5,6,12,23
214,214,5
4,5,6,12,18
214,214,6
4,5,6,11,12,18
198,198,7
3,4,5,6,11,12,18
215,215,9
2,3,4,7,9,10,11,17,24
197,197,8
1,7,8,9,14,15,21,22
196,196,5
13,14,19,20,21
181,181,3
8,13,19
199,199,1
6
212,212,5
6,11,12,17,18
209,209,6
4,5,11,12,17,18
211,211,7
1,2,3,12,16,17,18
202,202,5
12,17,18,21,23
211,211,5
12,17,18,23,24
214,214,4
17,18,23,24
210,210,5
11,17,18,23,24
208,208,6
2,12,17,18,23,24
213,213,9
3,8,9,12,16,17,18,21,24
206,206,7
3,9,10,12,17,18,24
213,213,8
5,8,12,17,18,21,23,24
206,206,9
5,8,9,11,12,17,18,23,24
198,198,9
5,8,10,12,16,17,18,23,24
183,183,10
5,6,8,11,12,17,18,21,23,24
183,183,9
9,10,11,12,16,17,18,23,24
189,189,8
3,9,10,11,12,17,18,23
191,191,6
