504,26
169,169,4
1,7,14,20
151,151,2
1,7
175,175,1
12
149,149,2
6,22
171,171,3
11,15,20
163,163,3
10,11,15
147,147,3
5,17,22
147,147,3
7,22,23
154,154,3
16,17,22
169,169,3
6,14,24
171,171,2
4,21
156,156,2
3,4
156,156,1
4
155,155,1
14
173,173,2
14,19
178,178,2
1,14
178,178,1
19
162,162,2
6,22
157,157,3
7,19,24
144,144,3
3,11,21
161,161,3
5,9,21
172,172,2
22,23
174,174,2
9,22
177,177,1
14
177,177,1
12
177,177,1
18
145,145,2
6,7
176,176,3
7,17,18
177,177,2
7,18
177,177,3
7,16,18
168,168,3
6,7,24
155,155,3
6,7,18
177,177,4
1,6,12,24
145,145,4
6,12,18,24
162,162,5
5,6,12,18,24
176,176,7
5,6,10,11,12,17,24
151,151,9
2,3,4,9,10,11,13,22,24
158,158,7
1,2,8,14,18,20,21
168,168,3
13,19,20
152,152,1
22
162,162,4
4,9,21,22
164,164,3
9,21,22
178,178,5
9,15,16,21,22
178,178,6
4,5,9,16,21,22
171,171,5
4,9,16,21,22
177,177,7
2,5,9,15,16,21,22
145,145,5
2,5,15,21,22
153,153,4
7,16,21,22
153,153,3
16,21,22
174,174,3
9,21,22
164,164,3
12,21,22
164,164,2
21,22
172,172,2
1,22
177,177,2
21,22
155,155,1
1
179,179,1
21
177,177,1
22
175,175,1
16
179,179,1
14
147,147,1
17
147,147,1
3
147,147,1
2
147,147,1
24
179,179,1
17
166,166,1
1
162,162,2
9,22
162,162,1
8
149,149,4
12,18,23,24
144,144,9
4,6,7,15,16,20,21,22,23
176,176,9
2,3,7,8,13,14,15,19,20
177,177,8
1,2,7,8,13,14,19,24
145,145,7
1,2,7,8,13,19,23
161,161,5
1,2,7,13,14
173,173,2
2,7
158,158,1
9
157,157,1
21
164,164,2
15,21
164,164,2
15,21
147,147,3
15,21,22
155,155,2
15,21
170,170,2
15,21
156,156,1
4
171,171,1
3
146,146,1
5
157,157,1
7
146,146,1
7
146,146,2
1,7
146,146,2
7,20
173,173,1
7
178,178,1
21
167,167,2
13,18
164,164,3
1,5,13
144,144,2
1,4
164,164,1
1
164,164,1
9
159,159,1
12
144,144,2
2,12
177,177,2
12,18
162,162,2
6,17
168,168,2
5,6
179,179,1
24
162,162,2
6,24
169,169,1
11
179,179,2
18,24
179,179,3
6,7,24
178,178,4
6,12,18,24
144,144,5
5,6,12,18,24
154,154,7
5,6,10,11,12,18,24
151,151,9
3,4,10,15,18,21,22,23,24
176,176,7
1,7,8,13,14,19,20
166,166,3
13,19,20
161,161,2
22,24
170,170,4
9,15,22,24
164,164,3
15,21,22
160,160,5
9,15,21,22,24
163,163,5
15,19,21,22,24
144,144,5
9,15,16,21,22
177,177,6
4,9,15,19,21,22
176,176,5
1,9,15,21,22
171,171,4
1,21,22,24
163,163,3
9,21,22
164,164,2
21,22
153,153,2
9,19
153,153,2
9,22
155,155,1
22
145,145,1
3
146,146,1
11
146,146,1
24
146,146,1
23
177,177,1
2
177,177,1
12
154,154,2
6,13
157,157,2
6,12
157,157,2
6,23
173,173,1
24
159,159,1
24
168,168,1
24
162,162,2
9,18
162,162,1
4
154,154,4
6,12,23,24
179,179,9
1,9,10,15,16,20,21,22,23
148,148,9
2,3,7,8,9,13,14,19,20
145,145,8
1,2,7,8,12,13,14,19
168,168,7
1,2,7,8,13,19,24
169,169,5
1,7,9,13,20
147,147,2
2,7
175,175,1
1
150,150,1
21
164,164,2
15,16
148,148,2
15,21
147,147,3
11,15,21
147,147,2
15,21
163,163,2
15,21
170,170,1
3
156,156,1
14
146,146,1
4
176,176,1
18
146,146,2
18,19
178,178,2
18,19
176,176,2
18,19
177,177,1
19
177,177,1
4
157,157,2
7,18
168,168,2
4,10
164,164,1
4
166,166,1
12
173,173,1
17
149,149,2
10,16
149,149,2
11,17
144,144,2
1,16
145,145,2
11,23
155,155,3
2,8,24
144,144,3
6,8,11
177,177,3
5,23,24
177,177,3
6,11,23
162,162,3
11,12,24
152,152,3
6,12,18
178,178,4
6,12,18,24
154,154,5
5,6,12,18,24
168,168,7
4,5,6,10,12,23,24
151,151,9
4,10,16,17,18,21,22,23,24
176,176,7
2,5,7,13,14,20,21
168,168,3
13,19,20
152,152,1
5
161,161,4
5,11,21,22
164,164,3
16,21,22
178,178,5
5,9,19,21,22
163,163,5
9,15,16,19,22
171,171,5
