504,28
447,447,8
6,8,9,10,11,12,19,20
454,454,6
1,3,4,5,7,8
459,459,3
1,2,7
444,444,1
20
446,446,1
10
446,446,1
12
446,446,1
24
446,446,2
6,21
434,434,3
6,11,21
449,449,3
6,11,18
441,441,3
6,12,18
437,437,5
6,11,12,16,18
441,441,3
11,12,18
441,441,3
6,12,18
434,434,3
11,12,18
449,449,3
6,11,12
433,433,4
6,12,18,23
466,466,5
6,8,12,14,18
441,441,2
12,18
449,449,3
6,11,12
450,450,2
6,11
441,441,2
6,18
450,450,3
6,7,18
449,449,3
6,12,18
446,446,3
6,18,23
433,433,4
6,12,13,18
456,456,3
6,12,18
446,446,2
6,12
449,449,2
6,12
433,433,3
6,11,12
432,432,6
4,6,9,11,12,18
465,465,8
4,5,6,11,12,18,22,23
460,460,8
5,6,9,11,12,17,18,23
466,466,6
5,6,9,11,12,18
437,437,6
7,13,21,22,23,24
436,436,9
1,2,4,11,12,17,18,23,24
456,456,6
3,4,5,6,11,12
457,457,4
3,4,5,6
458,458,3
1,5,6
457,457,3
1,2,3
466,466,3
1,3,4
467,467,2
1,20
464,464,4
1,7,8,14
456,456,4
1,7,19,20
454,454,5
1,7,12,19,20
460,460,4
7,14,20,21
454,454,4
1,7,8,14
454,454,4
1,7,8,14
457,457,4
1,7,14,20
457,457,4
1,7,13,19
439,439,3
1,13,19
459,459,3
6,13,19
459,459,2
13,19
454,454,2
13,19
465,465,1
1
435,435,2
13,14
463,463,2
1,7
435,435,2
14,19
456,456,2
15,19
462,462,2
19,20
445,445,2
13,19
453,453,2
7,20
438,438,1
13
441,441,1
13
458,458,3
5,6,12
458,458,3
6,12,18
466,466,4
6,11,12,18
462,462,5
6,11,12,17,18
445,445,3
6,11,12
447,447,2
5,6
436,436,2
23,24
453,453,6
12,17,18,22,23,24
454,454,9
6,11,12,16,17,18,19,20,24
453,453,7
1,2,3,4,7,13,22
445,445,3
1,2,7
438,438,1
19
455,455,1
13
459,459,1
12
463,463,2
3,24
437,437,3
3,18,22
437,437,4
3,18,22,24
450,450,4
3,5,10,12
466,466,4
5,6,10,12
449,449,4
5,12,18,22
449,449,4
5,12,18,22
442,442,3
5,12,17
450,450,4
12,18,21,22
433,433,4
2,5,11,12
449,449,4
2,5,11,14
450,450,4
3,5,11,12
449,449,4
2,5,11,12
449,449,4
2,5,11,12
433,433,4
5,6,11,12
433,433,4
2,5,11,12
433,433,4
5,11,18,21
442,442,4
11,12,16,18
450,450,4
5,11,12,24
433,433,4
2,10,12,18
450,450,4
