504,30
533,533,5
3,4,5,6,7
533,533,7
4,5,6,9,10,11,12
525,525,9
6,11,12,13,14,15,16,17,18
533,533,9
14,15,16,17,18,21,22,23,24
525,525,9
4,14,17,18,20,21,22,23,24
525,525,8
1,16,18,20,21,22,23,24
523,523,7
16,17,20,21,22,23,24
516,516,7
2,18,20,21,22,23,24
522,522,3
18,20,21
514,514,2
22,24
536,536,2
7,14
536,536,2
14,21
512,512,1
22
530,530,4
7,8,13,14
516,516,6
7,8,13,14,20,24
524,524,6
1,7,8,13,14,20
539,539,7
1,7,8,13,14,20,21
515,515,9
1,2,7,8,14,15,19,20,21
515,515,8
2,3,4,8,9,15,21,22
515,515,8
4,9,10,16,17,21,22,23
515,515,7
5,6,11,12,17,18,23
539,539,6
5,6,12,17,18,24
516,516,5
4,6,12,18,24
538,538,4
6,12,18,24
530,530,3
12,18,24
521,521,1
11
537,537,2
19,20
506,506,2
19,20
513,513,3
3,13,19
512,512,3
13,19,20
506,506,3
13,19,20
512,512,3
13,19,20
506,506,3
19,20,21
512,512,3
13,19,20
512,512,4
13,20,21,24
506,506,3
13,20,21
506,506,3
19,20,21
513,513,3
13,20,21
506,506,3
13,20,21
513,513,3
19,20,21
510,510,3
13,14,20
511,511,4
7,13,19,20
526,526,4
13,19,20,21
526,526,4
7,13,19,20
534,534,4
13,14,19,20
505,505,5
7,13,19,20,21
513,513,2
13,20
530,530,3
6,19,20
538,538,4
7,19,20,21
527,527,6
7,13,14,19,20,21
536,536,6
7,13,14,19,20,21
519,519,6
7,13,14,19,20,21
536,536,6
13,14,15,19,20,21
520,520,5
13,14,19,20,21
537,537,5
13,14,19,20,21
536,536,6
7,13,18,19,20,21
512,512,5
7,13,19,20,21
512,512,6
7,13,19,20,21,24
536,536,5
7,13,14,20,21
521,521,5
7,13,19,20,21
519,519,6
7,13,14,19,20,21
519,519,6
7,13,14,19,20,21
519,519,6
7,13,14,19,20,21
522,522,4
8,13,19,20
519,519,6
13,14,15,19,20,21
522,522,3
14,19,20
504,504,6
3,7,13,14,19,20
519,519,6
13,14,19,20,21,24
527,527,6
7,13,14,17,19,20
506,506,3
14,19,20
537,537,1
20
515,515,4
1,2,3,4
523,523,6
1,2,4,5,6,7
523,523,8
2,5,6,7,9,10,11,12
524,524,9
6,7,11,12,14,15,16,17,18
523,523,9
11,12,13,16,17,18,22,23,24
524,524,9
13,14,17,18,20,21,22,23,24
523,523,8
17,18,19,20,21,22,23,24
516,516,7
17,18,19,20,21,23,24
516,516,6
18,19,20,22,23,24
537,537,2
18,24
522,522,5
2,3,5,11,17
537,537,1
17
536,536,1
24
530,530,3
1,5,11
507,507,4
1,5,11,13
532,532,7
1,5,7,8,11,13,19
539,539,7
1,2,7,8,13,14,15
515,515,8
1,2,7,8,9,13,14,20
515,515,9
1,2,3,8,9,14,15,21,22
515,515,9
2,3,4,5,6,8,9,15,21
515,515,8
3,4,5,10,11,16,22,24
515,515,7
4,5,10,11,16,17,23
515,515,6
5,11,12,17,18,23
524,524,5
6,11,12,18,24
531,531,5
6,12,17,18,24
508,508,5
10,12,17,18,24
522,522,4
11,17,18,24
530,530,3
4,17,18
530,530,3
10,17,23
506,506,3
4,16,17
512,512,1
17
512,512,1
16
514,514,1
16
533,533,2
3,16
512,512,1
16
514,514,1
16
512,512,1
3
530,530,3
3,8,18
530,530,2
12,18
506,506,2
12,18
514,514,1
12
521,521,1
12
521,521,1
12
521,521,1
18
512,512,1
6
534,534,2
5,13
505,505,2
7,20
505,505,2
19,20
505,505,2
7,20
527,527,3
14,19,20
538,538,2
13,20
535,535,3
13,19,20
527,527,3
13,19,20
527,527,3
13,19,20
511,511,3
13,19,20
512,512,3
19,20,21
528,528,3
19,20,21
529,529,3
19,20,21
511,511,3
19,20,21
511,511,3
13,20,21
511,511,3
13,20,21
511,511,4
17,19,20,21
507,507,2
15,20
527,527,4
13,19,20,21
514,514,3
13,20,21
527,527,4
13,19,20,21
527,527,4
13,19,20,21
527,527,4
13,19,20,21
527,527,4
13,19,20,21
508,508,2
18,20
511,511,4
13,19,20,21
537,537,1
1
539,539,4
1,2,3,4
531,531,6
1,2,3,4,5,6
532,532,8
3,4,5,8,9,10,11,12
525,525,9
9,10,11,12,14,15,16,17,18
531,531,10
1,10,14,15,16,17,18,22,23,24
533,533,9
14,16,17,18,20,21,22,23,24
532,532,8
16,17,18,20,21,22,23,24
515,515,8
1,17,19,20,21,22,23,24
522,522,6
10,11,21,22,23,24
538,538,4
4,11,23,24
522,522,6
2,3,4,12,18,22
512,512,1
24
520,520,1
1
537,537,2
1,2
514,514,4
1,2,7,8
515,515,6
1,2,3,7,8,13
524,524,7
1,2,7,8,13,14,20
523,523,8
1,2,3,7,8,9,12,14
523,523,8
1,2,3,8,9,14,15,21
523,523,8
2,3,4,8,9,10,15,21
523,523,8
3,4,5,9,10,11,16,22
523,523,8
4,5,10,11,16,17,20,23
524,524,6
5,6,11,12,17,18
524,524,5
6,12,18,23,24
531,531,5
6,12,18,23,24
539,539,6
5,6,7,12,18,24
514,514,4
12,18,23,24
517,517,4
1,9,18,24
538,538,3
1,18,24
537,537,2
17,18
520,520,1
1
512,512,1
20
533,533,1
15
537,537,1
1
537,537,1
24
512,512,1
13
537,537,1
16
512,512,1
19
512,512,1
19
504,504,1
13
528,528,2
14,20
534,534,2
14,20
534,534,2
13,14
506,506,2
14,20
506,506,3
16,20,21
505,505,3
16,20,21
535,535,4
4,13,14,21
518,518,4
14,20,21,24
510,510,3
13,14,21
518,518,3
14,20,21
538,538,3
13,14,21
538,538,3
7,14,21
519,519,5
6,13,14,20,21
519,519,5
12,13,14,20,21
536,536,5
7,14,19,20,21
528,528,5
13,14,20,21,22
519,519,4
13,14,20,21
520,520,3
14,20,21
530,530,2
20,21
521,521,4
13,14,20,21
519,519,4
14,19,20,21
504,504,4
13,14,20,21
504,504,4
13,14,20,21
522,522,3
8,14,21
512,512,4
6,13,14,19
504,504,4
13,14,19,20
505,505,4
13,14,20,21
511,511,5
14,16,19,20,21
537,537,4
13,19,20,21
537,537,4
14,19,20,21
537,537,3
14,20,21
518,518,1
2
539,539,4
1,2,3,4
532,532,7
1,4,5,6,7,8,18
533,533,8
5,6,7,8,9,10,11,12
531,531,10
9,10,11,12,14,15,16,17,18,19
533,533,10
12,14,15,16,17,18,19,22,23,24
533,533,9
13,14,15,18,20,21,22,23,24
533,533,8
15,16,18,20,21,22,23,24
525,525,7
18,19,20,21,22,23,24
525,525,6
19,20,21,22,23,24
522,522,5
15,18,20,22,24
538,538,5
4,9,11,18,24
537,537,1
22
537,537,1
1
538,538,4
1,7,13,18
538,538,5
1,2,7,12,13
532,532,7
1,2,7,8,13,20,24
523,523,7
1,2,7,8,13,14,20
515,515,8
1,2,3,7,8,10,14,20
515,515,8
1,2,3,8,9,14,15,21
515,515,9
2,3,4,8,9,15,19,21,22
515,515,8
3,4,9,10,11,15,16,22
515,515,7
4,5,10,11,16,17,23
515,515,6
5,6,11,12,17,23
524,524,5
6,12,18,23,24
532,532,5
6,10,12,18,24
508,508,4
6,12,18,24
522,522,3
12,18,24
520,520,1
18
537,537,1
13
537,537,1
13
536,536,2
13,16
520,520,2
13,14
536,536,1
13
536,536,1
13
536,536,2
8,13
536,536,2
8,13
505,505,2
13,16
528,528,2
13,23
526,526,2
2,13
526,526,1
13
528,528,1
13
534,534,1
13
534,534,1
13
534,534,1
13
534,534,1
13
534,534,1
13
505,505,2
13,19
518,518,2
13,22
518,518,2
13,19
518,518,2
7,19
518,518,2
13,19
527,527,2
1,19
538,538,2
1,19
511,511,3
13,19,20
535,535,3
7,13,19
520,520,4
7,13,19,20
528,528,3
13,19,20
530,530,2
13,19
528,528,3
13,19,20
522,522,2
13,20
522,522,2
13,19
520,520,4
7,12,19,20
507,507,2
7,21
530,530,2
8,19
535,535,4
7,13,19,20
527,527,2
19,20
527,527,2
13,20
510,510,2
19,20
506,506,3
8,19,20
527,527,2
20,21
510,510,2
13,19
522,522,1
1
517,517,4
1,2,3,4
525,525,7
3,4,5,6,8,9,12
531,531,9
6,7,8,9,10,11,12,16,22
533,533,10
7,11,12,13,14,15,16,17,18,19
525,525,9
13,14,15,16,17,18,22,23,24
531,531,9
1,16,17,18,20,21,22,23,24
515,515,8
12,15,19,20,21,22,23,24
531,531,7
9,19,20,21,22,23,24
516,516,6
17,19,20,22,23,24
522,522,4
17,22,23,24
538,538,5
4,5,6,10,11
537,537,1
24
528,528,2
4,10
533,533,5
1,5,7,10,13
516,516,6
1,2,7,8,13,19
523,523,7
1,2,7,8,13,14,19
515,515,8
1,2,7,8,12,13,14,20
524,524,8
1,2,7,8,13,14,15,20
524,524,9
1,2,3,8,9,14,15,21,24
524,524,9
2,3,8,9,15,16,19,21,22
524,524,8
3,4,5,9,10,15,16,22
524,524,7
4,5,10,11,16,17,23
524,524,6
5,6,11,12,17,23
516,516,5
6,12,17,18,24
532,532,5
5,6,12,18,24
508,508,5
3,6,12,18,24
538,538,4
10,17,18,24
537,537,1
24
512,512,1
19
537,537,1
23
506,506,1
19
512,512,1
20
537,537,1
20
537,537,2
5,21
518,518,2
6,21
536,536,1
21
526,526,1
21
529,529,1
21
510,510,2
18,21
510,510,1
21
529,529,2
20,21
529,529,2
20,21
534,534,2
20,21
534,534,2
20,21
534,534,1
21
513,513,4
19,20,21,22
519,519,3
19,20,21
505,505,4
7,19,20,21
505,505,4
7,19,20,21
535,535,6
3,7,14,19,20,21
535,535,5
7,13,19,20,21
536,536,5
7,19,20,21,22
536,536,4
7,19,20,21
527,527,5
7,13,19,20,21
527,527,5
7,19,20,21,22
529,529,5
7,14,19,20,21
520,520,5
7,14,19,20,21
529,529,5
7,9,19,20,21
527,527,5
7,14,19,20,21
535,535,5
7,14,19,20,21
535,535,5
7,13,19,20,21
535,535,5
7,14,19,20,21
514,514,4
19,20,21,22
520,520,4
7,19,20,21
520,520,6
3,7,13,14,20,21
506,506,6
3,7,14,19,20,21
505,505,6
7,13,14,19,20,21
505,505,6
7,13,14,15,19,21
537,537,5
7,14,19,20,21
508,508,3
13,14,21
529,529,4
13,19,20,21
526,526,1
1
525,525,4
1,2,3,4
533,533,7
2,3,4,5,6,10,17
533,533,8
4,5,6,8,9,10,11,12
515,515,10
8,9,10,11,14,15,16,17,18,19
515,515,10
10,11,14,15,16,17,21,22,23,24
515,515,9
13,14,15,16,17,20,21,23,24
515,515,9
11,13,14,15,16,17,20,21,24
523,523,8
13,14,15,19,20,22,23,24
525,525,7
9,15,19,20,21,22,23
538,538,6
13,15,19,20,22,23
538,538,6
7,12,15,16,17,24
529,529,2
10,20
521,521,1
7
521,521,1
22
514,514,2
1,7
