504,29
574,574,1
5
559,559,1
24
558,558,1
4
564,564,1
4
574,574,1
5
558,558,1
5
558,558,1
5
574,574,1
14
558,558,1
2
574,574,1
19
564,564,1
2
558,558,1
2
563,563,2
2,21
560,560,2
2,18
569,569,2
2,8
571,571,3
2,3,5
544,544,3
2,3,9
568,568,4
2,3,4,10
559,559,5
2,3,4,10,11
542,542,6
1,3,4,9,10,18
542,542,5
2,3,4,5,11
567,567,5
2,3,4,5,10
575,575,4
2,3,4,5
558,558,5
2,3,4,9,10
541,541,3
2,4,10
543,543,5
2,3,4,5,10
548,548,2
3,4
553,553,4
18,22,23,24
540,540,9
1,6,11,12,15,16,20,21,22
547,547,10
3,4,7,8,9,13,14,19,20,21
546,546,10
1,2,6,7,8,13,14,19,20,24
560,560,8
1,2,4,7,8,13,14,19
552,552,7
1,2,3,4,7,8,19
545,545,6
1,2,7,8,13,14
559,559,4
1,2,5,19
559,559,1
11
547,547,1
4
554,554,5
1,4,5,6,17
559,559,6
1,2,4,5,6,11
552,552,6
2,4,5,6,10,11
557,557,6
2,3,4,5,6,11
575,575,6
2,3,4,5,6,11
546,546,4
2,3,4,5
572,572,3
2,5,9
546,546,1
9
567,567,2
8,18
567,567,1
11
543,543,2
6,17
557,557,3
17,18,24
553,553,5
5,6,18,23,24
560,560,5
6,17,18,23,24
559,559,7
1,6,12,18,22,23,24
556,556,7
5,6,11,12,18,23,24
547,547,8
5,6,11,12,17,18,23,24
540,540,10
5,6,11,12,13,18,21,22,23,24
540,540,10
3,4,10,15,17,20,21,22,23,24
540,540,9
3,8,13,14,15,19,20,21,22
541,541,7
1,7,10,13,14,19,20
556,556,5
1,7,13,14,19
559,559,4
13,19,21,22
551,551,3
21,22,24
559,559,3
22,23,24
562,562,3
21,22,24
550,550,3
14,15,24
562,562,3
22,23,24
558,558,3
13,22,24
558,558,3
22,23,24
551,551,2
23,24
558,558,3
13,21,24
551,551,2
23,24
562,562,3
20,21,24
556,556,4
8,14,21,24
556,556,3
21,22,24
556,556,3
13,21,24
556,556,3
21,22,24
556,556,3
14,21,22
556,556,3
19,21,22
556,556,3
21,22,23
556,556,3
20,21,22
562,562,3
20,21,22
562,562,3
13,21,22
558,558,3
7,21,22
558,558,2
20,22
561,561,2
20,21
561,561,2
20,22
565,565,1
20
545,545,1
21
564,564,1
22
571,571,1
21
572,572,1
15
560,560,4
4,5,6,21
560,560,4
4,6,10,18
551,551,3
3,4,6
560,560,4
4,5,6,18
560,560,4
3,4,5,6
558,558,3
4,6,11
575,575,4
4,6,11,18
566,566,4
4,6,11,18
544,544,1
22
562,562,4
18,22,23,24
540,540,9
4,6,10,11,15,16,19,20,21
547,547,10
3,4,5,7,8,9,13,14,19,20
540,540,10
1,2,3,4,5,7,8,13,14,21
545,545,8
1,2,3,4,7,8,11,13
557,557,6
1,2,3,4,7,8
564,564,5
1,2,3,4,7
571,571,3
1,7,9
547,547,2
13,15
575,575,2
13,14
546,546,5
4,5,6,12,14
552,552,7
1,4,5,6,14,17,18
558,558,7
1,4,5,6,11,14,17
557,557,7
1,2,4,5,11,14,23
546,546,6
1,2,4,5,18,20
545,545,5
1,2,5,6,18
545,545,5
2,4,5,6,24
544,544,5
5,6,15,18,24
555,555,1
5
567,567,3
4,5,6
547,547,2
5,19
568,568,2
4,5
553,553,1
17
558,558,3
6,12,17
542,542,6
6,12,17,18,23,24
549,549,7
5,6,12,17,18,23,24
548,548,8
5,6,11,12,17,18,23,24
540,540,9
4,5,6,10,11,12,18,23,24
540,540,10
4,10,11,16,17,18,21,22,23,24
540,540,9
1,7,8,13,14,15,20,21,22
548,548,7
1,2,5,7,8,13,19
563,563,4
1,2,7,13
558,558,3
1,7,14
551,551,2
1,13
543,543,2
1,7
571,571,1
7
551,551,1
23
565,565,1
11
551,551,1
11
551,551,1
11
559,559,1
11
559,559,1
6
561,561,1
6
559,559,1
5
573,573,1
12
553,553,1
5
553,553,1
12
573,573,1
12
561,561,1
5
573,573,1
6
559,559,1
6
559,559,1
6
553,553,1
5
559,559,1
20
558,558,1
6
558,558,1
6
565,565,1
6
561,561,2
5,10
544,544,2
6,11
552,552,2
5,6
561,561,2
6,12
541,541,1
11
557,557,3
2,6,12
565,565,3
11,12,20
551,551,4
4,6,12,21
542,542,3
5,6,12
572,572,2
6,12
575,575,5
4,5,6,12,16
575,575,5
4,5,6,12,18
575,575,5
6,10,11,12,18
574,574,5
6,11,12,18,22
559,559,2
4,6
562,562,4
18,22,23,24
540,540,9
1,5,6,11,12,15,16,20,21
547,547,10
3,4,5,7,8,9,13,14,19,20
546,546,10
